fit_id,model_id,model_family,quantile_level,inference_method,coefficient_prior,reservoir_seed,required,enabled,config_hash,notes
qdesn_discrepancy_ridge_p05,qdesn_discrepancy_ridge,qdesn_glofas_discrepancy,0.05,vb_ld,ridge,20260511,false,true,TO_BE_COMPUTED,"GloFAS discrepancy-calibration Q-DESN with dense ridge baseline prior."
qdesn_discrepancy_ridge_p10,qdesn_discrepancy_ridge,qdesn_glofas_discrepancy,0.10,vb_ld,ridge,20260511,false,true,TO_BE_COMPUTED,"GloFAS discrepancy-calibration Q-DESN with dense ridge baseline prior."
qdesn_discrepancy_ridge_p25,qdesn_discrepancy_ridge,qdesn_glofas_discrepancy,0.25,vb_ld,ridge,20260511,false,true,TO_BE_COMPUTED,"GloFAS discrepancy-calibration Q-DESN with dense ridge baseline prior."
qdesn_discrepancy_ridge_p50,qdesn_discrepancy_ridge,qdesn_glofas_discrepancy,0.50,vb_ld,ridge,20260511,false,true,TO_BE_COMPUTED,"GloFAS discrepancy-calibration Q-DESN with dense ridge baseline prior."
qdesn_discrepancy_ridge_p75,qdesn_discrepancy_ridge,qdesn_glofas_discrepancy,0.75,vb_ld,ridge,20260511,false,true,TO_BE_COMPUTED,"GloFAS discrepancy-calibration Q-DESN with dense ridge baseline prior."
qdesn_discrepancy_ridge_p90,qdesn_discrepancy_ridge,qdesn_glofas_discrepancy,0.90,vb_ld,ridge,20260511,false,true,TO_BE_COMPUTED,"GloFAS discrepancy-calibration Q-DESN with dense ridge baseline prior."
qdesn_discrepancy_ridge_p95,qdesn_discrepancy_ridge,qdesn_glofas_discrepancy,0.95,vb_ld,ridge,20260511,false,true,TO_BE_COMPUTED,"GloFAS discrepancy-calibration Q-DESN with dense ridge baseline prior."
qdesn_reference_rhs_p05,qdesn_reference_rhs,qdesn_reference_only,0.05,vb_ld,rhs,20260511,true,true,TO_BE_COMPUTED,"Reference-only Q-DESN with default regularized horseshoe prior."
qdesn_reference_rhs_p10,qdesn_reference_rhs,qdesn_reference_only,0.10,vb_ld,rhs,20260511,true,true,TO_BE_COMPUTED,"Reference-only Q-DESN with default regularized horseshoe prior."
qdesn_reference_rhs_p25,qdesn_reference_rhs,qdesn_reference_only,0.25,vb_ld,rhs,20260511,true,true,TO_BE_COMPUTED,"Reference-only Q-DESN with default regularized horseshoe prior."
qdesn_reference_rhs_p50,qdesn_reference_rhs,qdesn_reference_only,0.50,vb_ld,rhs,20260511,true,true,TO_BE_COMPUTED,"Reference-only Q-DESN with default regularized horseshoe prior."
qdesn_reference_rhs_p75,qdesn_reference_rhs,qdesn_reference_only,0.75,vb_ld,rhs,20260511,true,true,TO_BE_COMPUTED,"Reference-only Q-DESN with default regularized horseshoe prior."
qdesn_reference_rhs_p90,qdesn_reference_rhs,qdesn_reference_only,0.90,vb_ld,rhs,20260511,true,true,TO_BE_COMPUTED,"Reference-only Q-DESN with default regularized horseshoe prior."
qdesn_reference_rhs_p95,qdesn_reference_rhs,qdesn_reference_only,0.95,vb_ld,rhs,20260511,true,true,TO_BE_COMPUTED,"Reference-only Q-DESN with default regularized horseshoe prior."
qdesn_discrepancy_rhs_p05,qdesn_discrepancy_rhs,qdesn_glofas_discrepancy,0.05,vb_ld,rhs,20260511,true,true,TO_BE_COMPUTED,"GloFAS discrepancy-calibration Q-DESN with default regularized horseshoe prior."
qdesn_discrepancy_rhs_p10,qdesn_discrepancy_rhs,qdesn_glofas_discrepancy,0.10,vb_ld,rhs,20260511,true,true,TO_BE_COMPUTED,"GloFAS discrepancy-calibration Q-DESN with default regularized horseshoe prior."
qdesn_discrepancy_rhs_p25,qdesn_discrepancy_rhs,qdesn_glofas_discrepancy,0.25,vb_ld,rhs,20260511,true,true,TO_BE_COMPUTED,"GloFAS discrepancy-calibration Q-DESN with default regularized horseshoe prior."
qdesn_discrepancy_rhs_p50,qdesn_discrepancy_rhs,qdesn_glofas_discrepancy,0.50,vb_ld,rhs,20260511,true,true,TO_BE_COMPUTED,"GloFAS discrepancy-calibration Q-DESN with default regularized horseshoe prior."
qdesn_discrepancy_rhs_p75,qdesn_discrepancy_rhs,qdesn_glofas_discrepancy,0.75,vb_ld,rhs,20260511,true,true,TO_BE_COMPUTED,"GloFAS discrepancy-calibration Q-DESN with default regularized horseshoe prior."
qdesn_discrepancy_rhs_p90,qdesn_discrepancy_rhs,qdesn_glofas_discrepancy,0.90,vb_ld,rhs,20260511,true,true,TO_BE_COMPUTED,"GloFAS discrepancy-calibration Q-DESN with default regularized horseshoe prior."
qdesn_discrepancy_rhs_p95,qdesn_discrepancy_rhs,qdesn_glofas_discrepancy,0.95,vb_ld,rhs,20260511,true,true,TO_BE_COMPUTED,"GloFAS discrepancy-calibration Q-DESN with default regularized horseshoe prior."
dqlm_baseline_p50,dqlm_baseline,dqlm_baseline,0.50,vb_ld,none,NA,false,false,TO_BE_COMPUTED,"Placeholder for DQLM baseline under the shared forecast-origin protocol."
exdqlm_baseline_p50,exdqlm_baseline,exdqlm_baseline,0.50,vb_ld,none,NA,false,false,TO_BE_COMPUTED,"Placeholder for exDQLM baseline under the shared forecast-origin protocol."
