"mcmc_case_id","case_id","scenario_id","source_model_id","model_id","display_label","likelihood_family","fit_structure","window","rows","raw_crossing_pairs","contract_crossing_pairs","raw_crossing_opportunities","raw_crossing_rate","mean_abs_monotone_adjustment","max_abs_monotone_adjustment","coherence_status"
"nonlinear_reservoir_friendly__qdesn_rhs_independent","nonlinear_reservoir_friendly__qdesn_rhs_independent","nonlinear_reservoir_friendly","qdesn_rhs_independent_vb","qdesn_rhs_independent_mcmc","Independent QDESN, AL, RHS","AL","independent","fit",500,24,0,3000,0.008,0.000891137057996385,0.184454801341627,"review"
"nonlinear_reservoir_friendly__qdesn_rhs_independent","nonlinear_reservoir_friendly__qdesn_rhs_independent","nonlinear_reservoir_friendly","qdesn_rhs_independent_vb","qdesn_rhs_independent_mcmc","Independent QDESN, AL, RHS","AL","independent","forecast",990,0,0,5940,0,9.50483278743506e-17,8.88178419700125e-16,"review"
"nonlinear_reservoir_friendly__joint_exqdesn_rhs","nonlinear_reservoir_friendly__joint_exqdesn_rhs","nonlinear_reservoir_friendly","joint_exqdesn_rhs_vb","joint_exqdesn_rhs_mcmc","Joint exQDESN, exAL, RHS","exAL","joint","fit",500,0,0,3000,0,7.89527173797719e-17,8.88178419700125e-16,"pass"
"nonlinear_reservoir_friendly__joint_exqdesn_rhs","nonlinear_reservoir_friendly__joint_exqdesn_rhs","nonlinear_reservoir_friendly","joint_exqdesn_rhs_vb","joint_exqdesn_rhs_mcmc","Joint exQDESN, exAL, RHS","exAL","joint","forecast",990,0,0,5940,0,7.65391037386107e-17,8.88178419700125e-16,"pass"
"nonlinear_reservoir_friendly__exqdesn_rhs_independent","nonlinear_reservoir_friendly__exqdesn_rhs_independent","nonlinear_reservoir_friendly","exqdesn_rhs_independent_vb","exqdesn_rhs_independent_mcmc","Independent exQDESN, exAL, RHS","exAL","independent","fit",500,0,0,3000,0,7.98964069507032e-17,8.88178419700125e-16,"review"
"nonlinear_reservoir_friendly__exqdesn_rhs_independent","nonlinear_reservoir_friendly__exqdesn_rhs_independent","nonlinear_reservoir_friendly","exqdesn_rhs_independent_vb","exqdesn_rhs_independent_mcmc","Independent exQDESN, exAL, RHS","exAL","independent","forecast",990,0,0,5940,0,7.75338787881824e-17,6.66133814775094e-16,"review"
"normal_bridge__joint_qdesn_rhs","normal_bridge__joint_qdesn_rhs","normal_bridge","joint_qdesn_rhs_vb","joint_qdesn_rhs_mcmc","Joint QDESN, AL, RHS","AL","joint","fit",500,2,0,3000,0.000666666666666667,1.28856346966039e-05,0.0131337810285514,"review"
"normal_bridge__joint_qdesn_rhs","normal_bridge__joint_qdesn_rhs","normal_bridge","joint_qdesn_rhs_vb","joint_qdesn_rhs_mcmc","Joint QDESN, AL, RHS","AL","joint","forecast",990,165,0,5940,0.0277777777777778,0.00121904719709999,0.129116462302544,"review"
"normal_bridge__qdesn_rhs_independent","normal_bridge__qdesn_rhs_independent","normal_bridge","qdesn_rhs_independent_vb","qdesn_rhs_independent_mcmc","Independent QDESN, AL, RHS","AL","independent","fit",500,22,0,3000,0.00733333333333333,0.000125297562891168,0.0371397900426106,"review"
"normal_bridge__qdesn_rhs_independent","normal_bridge__qdesn_rhs_independent","normal_bridge","qdesn_rhs_independent_vb","qdesn_rhs_independent_mcmc","Independent QDESN, AL, RHS","AL","independent","forecast",990,288,0,5940,0.0484848484848485,0.00121933429313126,0.0499186572558569,"review"
"normal_bridge__joint_exqdesn_rhs","normal_bridge__joint_exqdesn_rhs","normal_bridge","joint_exqdesn_rhs_vb","joint_exqdesn_rhs_mcmc","Joint exQDESN, exAL, RHS","exAL","joint","fit",500,0,0,3000,0,5.72359620016576e-17,4.44089209850063e-16,"review"
"normal_bridge__joint_exqdesn_rhs","normal_bridge__joint_exqdesn_rhs","normal_bridge","joint_exqdesn_rhs_vb","joint_exqdesn_rhs_mcmc","Joint exQDESN, exAL, RHS","exAL","joint","forecast",990,0,0,5940,0,5.41994699882393e-17,8.88178419700125e-16,"review"
"normal_bridge__exqdesn_rhs_independent","normal_bridge__exqdesn_rhs_independent","normal_bridge","exqdesn_rhs_independent_vb","exqdesn_rhs_independent_mcmc","Independent exQDESN, exAL, RHS","exAL","independent","fit",500,0,0,3000,0,5.30964161526981e-17,8.88178419700125e-16,"review"
"normal_bridge__exqdesn_rhs_independent","normal_bridge__exqdesn_rhs_independent","normal_bridge","exqdesn_rhs_independent_vb","exqdesn_rhs_independent_mcmc","Independent exQDESN, exAL, RHS","exAL","independent","forecast",990,0,0,5940,0,5.10894837738763e-17,8.88178419700125e-16,"review"
"persistent_heavy_tail__joint_qdesn_rhs","persistent_heavy_tail__joint_qdesn_rhs","persistent_heavy_tail","joint_qdesn_rhs_vb","joint_qdesn_rhs_mcmc","Joint QDESN, AL, RHS","AL","joint","fit",500,3,0,3000,0.001,1.04750212112374e-05,0.0135735883803778,"pass"
"persistent_heavy_tail__joint_qdesn_rhs","persistent_heavy_tail__joint_qdesn_rhs","persistent_heavy_tail","joint_qdesn_rhs_vb","joint_qdesn_rhs_mcmc","Joint QDESN, AL, RHS","AL","joint","forecast",990,0,0,5940,0,8.8275146371756e-17,8.88178419700125e-16,"pass"
"persistent_heavy_tail__qdesn_rhs_independent","persistent_heavy_tail__qdesn_rhs_independent","persistent_heavy_tail","qdesn_rhs_independent_vb","qdesn_rhs_independent_mcmc","Independent QDESN, AL, RHS","AL","independent","fit",500,9,0,3000,0.003,6.60731558751621e-05,0.0330021407376407,"review"
"persistent_heavy_tail__qdesn_rhs_independent","persistent_heavy_tail__qdesn_rhs_independent","persistent_heavy_tail","qdesn_rhs_independent_vb","qdesn_rhs_independent_mcmc","Independent QDESN, AL, RHS","AL","independent","forecast",990,0,0,5940,0,8.15154821949482e-17,1.77635683940025e-15,"review"
"persistent_heavy_tail__joint_exqdesn_rhs","persistent_heavy_tail__joint_exqdesn_rhs","persistent_heavy_tail","joint_exqdesn_rhs_vb","joint_exqdesn_rhs_mcmc","Joint exQDESN, exAL, RHS","exAL","joint","fit",500,0,0,3000,0,9.87226173825612e-17,1.77635683940025e-15,"pass"
"persistent_heavy_tail__joint_exqdesn_rhs","persistent_heavy_tail__joint_exqdesn_rhs","persistent_heavy_tail","joint_exqdesn_rhs_vb","joint_exqdesn_rhs_mcmc","Joint exQDESN, exAL, RHS","exAL","joint","forecast",990,0,0,5940,0,9.31243618373581e-17,1.77635683940025e-15,"pass"
"persistent_heavy_tail__exqdesn_rhs_independent","persistent_heavy_tail__exqdesn_rhs_independent","persistent_heavy_tail","exqdesn_rhs_independent_vb","exqdesn_rhs_independent_mcmc","Independent exQDESN, exAL, RHS","exAL","independent","fit",500,0,0,3000,0,9.73150131906258e-17,1.77635683940025e-15,"review"
"persistent_heavy_tail__exqdesn_rhs_independent","persistent_heavy_tail__exqdesn_rhs_independent","persistent_heavy_tail","exqdesn_rhs_independent_vb","exqdesn_rhs_independent_mcmc","Independent exQDESN, exAL, RHS","exAL","independent","forecast",990,0,0,5940,0,8.38935302500391e-17,1.77635683940025e-15,"review"
"regime_shift__joint_qdesn_rhs","regime_shift__joint_qdesn_rhs","regime_shift","joint_qdesn_rhs_vb","joint_qdesn_rhs_mcmc","Joint QDESN, AL, RHS","AL","joint","fit",500,0,0,3000,0,6.20317289598152e-17,8.88178419700125e-16,"pass"
"regime_shift__joint_qdesn_rhs","regime_shift__joint_qdesn_rhs","regime_shift","joint_qdesn_rhs_vb","joint_qdesn_rhs_mcmc","Joint QDESN, AL, RHS","AL","joint","forecast",990,0,0,5940,0,5.82606754246387e-17,8.88178419700125e-16,"pass"
"regime_shift__qdesn_rhs_independent","regime_shift__qdesn_rhs_independent","regime_shift","qdesn_rhs_independent_vb","qdesn_rhs_independent_mcmc","Independent QDESN, AL, RHS","AL","independent","fit",500,0,0,3000,0,6.23330752093563e-17,8.88178419700125e-16,"review"
"regime_shift__qdesn_rhs_independent","regime_shift__qdesn_rhs_independent","regime_shift","qdesn_rhs_independent_vb","qdesn_rhs_independent_mcmc","Independent QDESN, AL, RHS","AL","independent","forecast",990,3,0,5940,0.000505050505050505,2.42960613903881e-05,0.0471893405242689,"review"
"regime_shift__joint_exqdesn_rhs","regime_shift__joint_exqdesn_rhs","regime_shift","joint_exqdesn_rhs_vb","joint_exqdesn_rhs_mcmc","Joint exQDESN, exAL, RHS","exAL","joint","fit",500,0,0,3000,0,6.24024641483954e-17,8.88178419700125e-16,"review"
"regime_shift__joint_exqdesn_rhs","regime_shift__joint_exqdesn_rhs","regime_shift","joint_exqdesn_rhs_vb","joint_exqdesn_rhs_mcmc","Joint exQDESN, exAL, RHS","exAL","joint","forecast",990,0,0,5940,0,5.69690198494525e-17,8.88178419700125e-16,"review"
