"model_id","origin_date","target_date","horizon","lower","upper","nominal","covered","interval_score"
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-01,7,0.15,0.8,0.65,FALSE,5.26661765094203
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-02,8,0.15,0.8,0.65,TRUE,2.4686175822513
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-03,9,0.15,0.8,0.65,TRUE,2.5571011354817
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-04,10,0.15,0.8,0.65,TRUE,2.59632587068711
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-05,11,0.15,0.8,0.65,FALSE,5.06588127491921
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-06,12,0.15,0.8,0.65,TRUE,2.64988052001485
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-07,13,0.15,0.8,0.65,TRUE,2.69543573334646
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-08,14,0.15,0.8,0.65,TRUE,2.68743781579698
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-09,15,0.15,0.8,0.65,FALSE,10.2162428539892
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-10,16,0.15,0.8,0.65,FALSE,2.91069831838397
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-11,17,0.15,0.8,0.65,TRUE,2.65729400321104
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-12,18,0.15,0.8,0.65,TRUE,2.71701275022488
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-13,19,0.15,0.8,0.65,TRUE,2.76365085508045
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-14,20,0.15,0.8,0.65,FALSE,8.48162661929192
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-15,21,0.15,0.8,0.65,FALSE,3.67344579115679
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-16,22,0.15,0.8,0.65,FALSE,5.0517853392645
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-17,23,0.15,0.8,0.65,TRUE,2.80182675777177
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-18,24,0.15,0.8,0.65,TRUE,2.73930940583491
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-19,25,0.15,0.8,0.65,TRUE,2.74291872859401
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-20,26,0.15,0.8,0.65,TRUE,2.66070623411923
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-21,27,0.15,0.8,0.65,TRUE,2.62132417984097
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-22,28,0.15,0.8,0.65,TRUE,2.60940623803431
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2022-12-26,1,0.35,0.65,0.3,FALSE,0.836428740779575
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2022-12-27,2,0.35,0.65,0.3,FALSE,8.18797721608987
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2022-12-28,3,0.35,0.65,0.3,FALSE,3.04534818579036
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2022-12-29,4,0.35,0.65,0.3,FALSE,1.57074064291914
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2022-12-30,5,0.35,0.65,0.3,FALSE,3.88718688955735
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2022-12-31,6,0.35,0.65,0.3,FALSE,10.1921122905558
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-01,7,0.35,0.65,0.3,FALSE,5.35250206206511
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-02,8,0.35,0.65,0.3,FALSE,3.0035741587573
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-03,9,0.35,0.65,0.3,FALSE,2.23332133412871
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-04,10,0.35,0.65,0.3,FALSE,3.69082584033783
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-05,11,0.35,0.65,0.3,FALSE,5.89672960937111
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-06,12,0.35,0.65,0.3,FALSE,3.33466249822473
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-07,13,0.35,0.65,0.3,FALSE,2.28077180661453
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-08,14,0.35,0.65,0.3,FALSE,5.1211494500874
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-09,15,0.35,0.65,0.3,FALSE,8.95277878975793
