"case_id","scenario_id","source_model_id","display_label","posterior_realized_acrps_mean","canonical_action_realized_acrps","phase181_promoted","score_functional_status","coherence_status","oracle_quantile_mae","oracle_quantile_rmse","raw_crossing_pairs","contract_crossing_pairs"
"normal_bridge__qdesn_rhs_independent_vb","normal_bridge","qdesn_rhs_independent_vb","Independent QDESN RHS",0.310441484288569,0.308122156529376,FALSE,"pass","review",0.0820083902509516,0.108975376720264,1,0
"persistent_heavy_tail__exqdesn_rhs_independent_vb","persistent_heavy_tail","exqdesn_rhs_independent_vb","Independent exQDESN RHS",0.35234246619099,0.349397744417334,TRUE,"pass","review",0.10756505290327,0.140890748161484,0,0
"persistent_heavy_tail__joint_exqdesn_rhs_vb","persistent_heavy_tail","joint_exqdesn_rhs_vb","Joint exQDESN RHS",0.35388005306764,0.351720839571859,TRUE,"review","review",0.128007411669786,0.167403908285203,0,0
"persistent_heavy_tail__joint_qdesn_rhs_vb","persistent_heavy_tail","joint_qdesn_rhs_vb","Joint QDESN RHS",0.354382978216301,0.352674114282854,FALSE,"review","pass",0.130350184762813,0.169217631800608,0,0
"persistent_heavy_tail__qdesn_rhs_independent_vb","persistent_heavy_tail","qdesn_rhs_independent_vb","Independent QDESN RHS",0.353423732697892,0.350832728313492,TRUE,"pass","review",0.125327795283469,0.165636758974725,0,0
"regime_shift__exqdesn_rhs_independent_vb","regime_shift","exqdesn_rhs_independent_vb","Independent exQDESN RHS",0.449152156300681,0.444236600170238,TRUE,"pass","review",0.102912883697393,0.126804278468021,0,0
"regime_shift__joint_exqdesn_rhs_vb","regime_shift","joint_exqdesn_rhs_vb","Joint exQDESN RHS",0.456236370383496,0.452606555174869,TRUE,"pass","review",0.179973442122076,0.216605430354752,0,0
"regime_shift__joint_qdesn_rhs_vb","regime_shift","joint_qdesn_rhs_vb","Joint QDESN RHS",0.45381281164253,0.450147522273933,FALSE,"pass","pass",0.150753103513825,0.169617239196393,0,0
"regime_shift__qdesn_rhs_independent_vb","regime_shift","qdesn_rhs_independent_vb","Independent QDESN RHS",0.448515570584692,0.444424038292288,FALSE,"pass","review",0.101109334236236,0.123728728437859,5,0
"student_t_location_scale__exqdesn_rhs_independent_vb","student_t_location_scale","exqdesn_rhs_independent_vb","Independent exQDESN RHS",0.365417873693931,0.362521541329464,TRUE,"pass","review",0.0946983992523086,0.120685521246149,0,0
"student_t_location_scale__joint_exqdesn_rhs_vb","student_t_location_scale","joint_exqdesn_rhs_vb","Joint exQDESN RHS",0.366111832445359,0.364012668237865,TRUE,"review","review",0.116002647691649,0.145698354967312,0,0
"student_t_location_scale__joint_qdesn_rhs_vb","student_t_location_scale","joint_qdesn_rhs_vb","Joint QDESN RHS",0.363838694971005,0.362177711832955,FALSE,"review","pass",0.0718689486947746,0.0950257965322399,0,0
"student_t_location_scale__qdesn_rhs_independent_vb","student_t_location_scale","qdesn_rhs_independent_vb","Independent QDESN RHS",0.36443301654066,0.362240071780686,FALSE,"review","review",0.07168195666329,0.0983520542039753,2,0
