"candidate_id","window","estimate_mode","quantile_id","quantile_level","n","check_loss_mean"
"fr09_persistence_innovation","last500","independent","p15",0.15,500,0.0123893462117058
"fr09_persistence_innovation","last500","independent","p35",0.35,500,0.0224444413226169
"fr09_persistence_innovation","last500","independent","p50",0.5,500,0.0274198240780579
"fr09_persistence_innovation","last500","independent","p65",0.65,500,0.0284548408661693
"fr09_persistence_innovation","last500","independent","p80",0.8,500,0.0239878103552526
"fr09_persistence_innovation","last500","independent","p95",0.95,500,0.0143994270020625
"fr09_persistence_innovation","last500","isotonic","p05",0.05,500,0.00556297108463751
"fr09_persistence_innovation","last500","isotonic","p15",0.15,500,0.0123849419023559
"fr09_persistence_innovation","last500","isotonic","p35",0.35,500,0.0224254448911781
"fr09_persistence_innovation","last500","isotonic","p50",0.5,500,0.0274207035942165
"fr09_persistence_innovation","last500","isotonic","p65",0.65,500,0.0284513186815619
"fr09_persistence_innovation","last500","isotonic","p80",0.8,500,0.0239772573712152
"fr09_persistence_innovation","last500","isotonic","p95",0.95,500,0.0143298639883982
"fr09_persistence_innovation","last200","independent","p05",0.05,200,0.00529124578775633
"fr09_persistence_innovation","last200","independent","p15",0.15,200,0.0119241664961117
"fr09_persistence_innovation","last200","independent","p35",0.35,200,0.0223867483529584
"fr09_persistence_innovation","last200","independent","p50",0.5,200,0.02680414176779
"fr09_persistence_innovation","last200","independent","p65",0.65,200,0.0288695005377156
"fr09_persistence_innovation","last200","independent","p80",0.8,200,0.0265446672538883
"fr09_persistence_innovation","last200","independent","p95",0.95,200,0.0172730404221522
"fr09_persistence_innovation","last200","isotonic","p05",0.05,200,0.0052759265468016
"fr09_persistence_innovation","last200","isotonic","p15",0.15,200,0.0119316730844524
"fr09_persistence_innovation","last200","isotonic","p35",0.35,200,0.0223834452620408
"fr09_persistence_innovation","last200","isotonic","p50",0.5,200,0.0268199372765603
"fr09_persistence_innovation","last200","isotonic","p65",0.65,200,0.0288768918074203
"fr09_persistence_innovation","last200","isotonic","p80",0.8,200,0.0265286199581274
"fr09_persistence_innovation","last200","isotonic","p95",0.95,200,0.0172204879745424
"fr09_persistence_innovation","last100","independent","p05",0.05,100,0.00984117150108381
"fr09_persistence_innovation","last100","independent","p15",0.15,100,0.0223982364426324
"fr09_persistence_innovation","last100","independent","p35",0.35,100,0.0426475066158239
"fr09_persistence_innovation","last100","independent","p50",0.5,100,0.0514247204992337
"fr09_persistence_innovation","last100","independent","p65",0.65,100,0.055712399765137
"fr09_persistence_innovation","last100","independent","p80",0.8,100,0.0514659325439821
"fr09_persistence_innovation","last100","independent","p95",0.95,100,0.033537996778097
"fr09_persistence_innovation","last100","isotonic","p05",0.05,100,0.00981011240264689
"fr09_persistence_innovation","last100","isotonic","p15",0.15,100,0.0224145114688961
"fr09_persistence_innovation","last100","isotonic","p35",0.35,100,0.0426409004339887
"fr09_persistence_innovation","last100","isotonic","p50",0.5,100,0.0514563115167742
"fr09_persistence_innovation","last100","isotonic","p65",0.65,100,0.0557288007573811
"fr09_persistence_innovation","last100","isotonic","p80",0.8,100,0.051432913122269
"fr09_persistence_innovation","last100","isotonic","p95",0.95,100,0.0334328918828773
"fr09_persistence_innovation","last50","independent","p05",0.05,50,0.0174555105624157
"fr09_persistence_innovation","last50","independent","p15",0.15,50,0.0397280246469213
"fr09_persistence_innovation","last50","independent","p35",0.35,50,0.0744440618288148
"fr09_persistence_innovation","last50","independent","p50",0.5,50,0.0893938598865739
"fr09_persistence_innovation","last50","independent","p65",0.65,50,0.0965680950267334
"fr09_persistence_innovation","last50","independent","p80",0.8,50,0.0897143088519896
"fr09_persistence_innovation","last50","independent","p95",0.95,50,0.0615825084845878
"fr09_persistence_innovation","last50","isotonic","p05",0.05,50,0.0173933923655418
"fr09_persistence_innovation","last50","isotonic","p15",0.15,50,0.0397605746994487
"fr09_persistence_innovation","last50","isotonic","p35",0.35,50,0.0744440618288148
"fr09_persistence_innovation","last50","isotonic","p50",0.5,50,0.0893908256033497
"fr09_persistence_innovation","last50","isotonic","p65",0.65,50,0.0965702190249903
"fr09_persistence_innovation","last50","isotonic","p80",0.8,50,0.0897143088519896
"fr09_persistence_innovation","last50","isotonic","p95",0.95,50,0.0615825084845878
