"fit_id","model_id","model_family","quantile_level","qhat","y_reference","q_g_hat","d_g_hat","raw_glofas_quantile","discrepancy_hat","discrepancy_feature_date","prediction_contract","contract_version","forecast_scope","q_g_source","discrepancy_feature_strategy","prediction_unit","posterior_draw_contract","posterior_predictive_sampling","beyond_issued_horizon","origin_date","target_date","horizon","qhat_summary","source_run_id","source_quantile_id","qhat_monotone","qhat_uncalibrated","qhat_monotone_uncalibrated","qhat_calibrated_pre_monotone","spread_calibration_factor","spread_calibration_additive_width","spread_calibration_id"
"raw_glofas_glofas_stage_d_local_refinement_20260623_d_alpha_025_p35","raw_glofas_glofas_stage_d_local_refinement_20260623_d_alpha_025","raw_glofas",0.35,1.22790031294312,2.74437307549665,1.22790031294312,,1.22790031294312,,"","raw_glofas_ensemble_quantile",0.3,"issued_glofas_only","ensemble_empirical_quantile","none","raw_point_baseline","not_applicable","not_applicable","disabled",2022-12-25,2022-12-30,5,"","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_p35","p35",1.22790031294312,1.22790031294312,1.22790031294312,,,,
"raw_glofas_glofas_stage_d_local_refinement_20260623_d_alpha_025_p50","raw_glofas_glofas_stage_d_local_refinement_20260623_d_alpha_025","raw_glofas",0.5,1.33005464279701,2.74437307549665,1.33005464279701,,1.33005464279701,,"","raw_glofas_ensemble_quantile",0.3,"issued_glofas_only","ensemble_empirical_quantile","none","raw_point_baseline","not_applicable","not_applicable","disabled",2022-12-25,2022-12-30,5,"","glofas_stage_d_local_refinement_20260623_d_alpha_025_p50","p50",1.33005464279701,1.33005464279701,1.33005464279701,,,,
"raw_glofas_glofas_stage_d_local_refinement_20260623_d_alpha_025_p65","raw_glofas_glofas_stage_d_local_refinement_20260623_d_alpha_025","raw_glofas",0.65,1.46783469941767,2.74437307549665,1.46783469941767,,1.46783469941767,,"","raw_glofas_ensemble_quantile",0.3,"issued_glofas_only","ensemble_empirical_quantile","none","raw_point_baseline","not_applicable","not_applicable","disabled",2022-12-25,2022-12-30,5,"","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_p65","p65",1.46783469941767,1.46783469941767,1.46783469941767,,,,
"raw_glofas_glofas_stage_d_local_refinement_20260623_d_alpha_025_p80","raw_glofas_glofas_stage_d_local_refinement_20260623_d_alpha_025","raw_glofas",0.8,1.55319819411122,2.74437307549665,1.55319819411122,,1.55319819411122,,"","raw_glofas_ensemble_quantile",0.3,"issued_glofas_only","ensemble_empirical_quantile","none","raw_point_baseline","not_applicable","not_applicable","disabled",2022-12-25,2022-12-30,5,"","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_p80","p80",1.55319819411122,1.55319819411122,1.55319819411122,,,,
"raw_glofas_glofas_stage_d_local_refinement_20260623_d_alpha_025_p95","raw_glofas_glofas_stage_d_local_refinement_20260623_d_alpha_025","raw_glofas",0.95,1.69259842171405,2.74437307549665,1.69259842171405,,1.69259842171405,,"","raw_glofas_ensemble_quantile",0.3,"issued_glofas_only","ensemble_empirical_quantile","none","raw_point_baseline","not_applicable","not_applicable","disabled",2022-12-25,2022-12-30,5,"","glofas_stage_e_tail_gate_20260623_d_alpha_025_p95","p95",1.69259842171405,1.69259842171405,1.69259842171405,,,,
"raw_glofas_glofas_stage_d_local_refinement_20260623_d_alpha_025_p05","raw_glofas_glofas_stage_d_local_refinement_20260623_d_alpha_025","raw_glofas",0.05,1.27729754004953,5.22981641170739,1.27729754004953,,1.27729754004953,,"","raw_glofas_ensemble_quantile",0.3,"issued_glofas_only","ensemble_empirical_quantile","none","raw_point_baseline","not_applicable","not_applicable","disabled",2022-12-25,2022-12-31,6,"","glofas_stage_e_tail_gate_20260623_d_alpha_025_p05","p05",1.27729754004953,1.27729754004953,1.27729754004953,,,,
"raw_glofas_glofas_stage_d_local_refinement_20260623_d_alpha_025_p15","raw_glofas_glofas_stage_d_local_refinement_20260623_d_alpha_025","raw_glofas",0.15,1.42929052800564,5.22981641170739,1.42929052800564,,1.42929052800564,,"","raw_glofas_ensemble_quantile",0.3,"issued_glofas_only","ensemble_empirical_quantile","none","raw_point_baseline","not_applicable","not_applicable","disabled",2022-12-25,2022-12-31,6,"","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_p15","p15",1.42929052800564,1.42929052800564,1.42929052800564,,,,
"raw_glofas_glofas_stage_d_local_refinement_20260623_d_alpha_025_p35","raw_glofas_glofas_stage_d_local_refinement_20260623_d_alpha_025","raw_glofas",0.35,1.57768791338942,5.22981641170739,1.57768791338942,,1.57768791338942,,"","raw_glofas_ensemble_quantile",0.3,"issued_glofas_only","ensemble_empirical_quantile","none","raw_point_baseline","not_applicable","not_applicable","disabled",2022-12-25,2022-12-31,6,"","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_p35","p35",1.57768791338942,1.57768791338942,1.57768791338942,,,,
"raw_glofas_glofas_stage_d_local_refinement_20260623_d_alpha_025_p50","raw_glofas_glofas_stage_d_local_refinement_20260623_d_alpha_025","raw_glofas",0.5,1.6715320422299,5.22981641170739,1.6715320422299,,1.6715320422299,,"","raw_glofas_ensemble_quantile",0.3,"issued_glofas_only","ensemble_empirical_quantile","none","raw_point_baseline","not_applicable","not_applicable","disabled",2022-12-25,2022-12-31,6,"","glofas_stage_d_local_refinement_20260623_d_alpha_025_p50","p50",1.6715320422299,1.6715320422299,1.6715320422299,,,,
"raw_glofas_glofas_stage_d_local_refinement_20260623_d_alpha_025_p65","raw_glofas_glofas_stage_d_local_refinement_20260623_d_alpha_025","raw_glofas",0.65,1.70828667742547,5.22981641170739,1.70828667742547,,1.70828667742547,,"","raw_glofas_ensemble_quantile",0.3,"issued_glofas_only","ensemble_empirical_quantile","none","raw_point_baseline","not_applicable","not_applicable","disabled",2022-12-25,2022-12-31,6,"","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_p65","p65",1.70828667742547,1.70828667742547,1.70828667742547,,,,
