"model_id","origin_date","target_date","horizon","diagnostic","n_quantiles","n_adjacent_pairs","n_crossing_pairs","max_crossing_magnitude"
"raw_glofas_fr09_authoritative",2022-12-25,2023-01-03,9,"after_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2023-01-04,10,"after_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2023-01-05,11,"after_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2023-01-06,12,"after_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2023-01-07,13,"after_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2023-01-08,14,"after_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2023-01-09,15,"after_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2023-01-10,16,"after_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2023-01-11,17,"after_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2023-01-12,18,"after_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2023-01-13,19,"after_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2023-01-14,20,"after_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2023-01-15,21,"after_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2023-01-16,22,"after_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2023-01-17,23,"after_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2023-01-18,24,"after_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2023-01-19,25,"after_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2023-01-20,26,"after_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2023-01-21,27,"after_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2023-01-22,28,"after_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2022-12-26,1,"after_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2022-12-27,2,"after_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2022-12-28,3,"after_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2022-12-29,4,"after_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2022-12-30,5,"after_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2022-12-31,6,"after_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2023-01-01,7,"after_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2023-01-02,8,"after_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2023-01-03,9,"after_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2023-01-04,10,"after_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2023-01-05,11,"after_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2023-01-06,12,"after_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2023-01-07,13,"after_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2023-01-08,14,"after_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2023-01-09,15,"after_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2023-01-10,16,"after_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2023-01-11,17,"after_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2023-01-12,18,"after_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2023-01-13,19,"after_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2023-01-14,20,"after_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2023-01-15,21,"after_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2023-01-16,22,"after_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2023-01-17,23,"after_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2023-01-18,24,"after_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2023-01-19,25,"after_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2023-01-20,26,"after_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2023-01-21,27,"after_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2023-01-22,28,"after_isotonic",7,6,0,0
