"case_id","window","raw_crossing_pairs","contract_crossing_pairs","mean_abs_monotone_adjustment","max_abs_monotone_adjustment","raw_crossing_rate","coherence_status"
"nonlinear_reservoir_friendly__exqdesn_rhs_independent_vb","fit",0,0,7.92312644064858e-17,8.88178419700125e-16,0.0297700968013468,"review"
"nonlinear_reservoir_friendly__exqdesn_rhs_independent_vb","forecast",0,0,7.77101046651071e-17,8.88178419700125e-16,0.0297700968013468,"review"
"normal_bridge__joint_qdesn_rhs_vb","fit",0,0,5.90182664644041e-17,8.88178419700125e-16,0.00654579124579125,"pass"
"normal_bridge__joint_qdesn_rhs_vb","forecast",0,0,5.85520488915993e-17,8.88178419700125e-16,0.00654579124579125,"pass"
"normal_bridge__qdesn_rhs_independent_vb","fit",0,0,5.56221735337203e-17,8.88178419700125e-16,0.0139224747474747,"review"
"normal_bridge__qdesn_rhs_independent_vb","forecast",1,0,2.08491225370705e-06,0.00722422095889508,0.0139224747474747,"review"
"normal_bridge__joint_exqdesn_rhs_vb","fit",0,0,5.60518893204837e-17,8.88178419700125e-16,0.0253666035353535,"review"
"normal_bridge__joint_exqdesn_rhs_vb","forecast",0,0,5.71652713942094e-17,8.88178419700125e-16,0.0253666035353535,"review"
"normal_bridge__exqdesn_rhs_independent_vb","fit",0,0,5.5063096939177e-17,8.88178419700125e-16,0.0437827861952862,"review"
"normal_bridge__exqdesn_rhs_independent_vb","forecast",0,0,5.72073252966574e-17,8.88178419700125e-16,0.0437827861952862,"review"
"persistent_heavy_tail__joint_qdesn_rhs_vb","fit",0,0,1.0147834953297e-16,1.77635683940025e-15,0.00433051346801347,"pass"
"persistent_heavy_tail__joint_qdesn_rhs_vb","forecast",0,0,8.65048773353768e-17,1.77635683940025e-15,0.00433051346801347,"pass"
"persistent_heavy_tail__qdesn_rhs_independent_vb","fit",0,0,9.56576088181497e-17,1.77635683940025e-15,0.0160592382154882,"review"
"persistent_heavy_tail__qdesn_rhs_independent_vb","forecast",0,0,8.30224136993321e-17,1.77635683940025e-15,0.0160592382154882,"review"
"persistent_heavy_tail__joint_exqdesn_rhs_vb","fit",0,0,1.00108413622227e-16,1.33226762955019e-15,0.0120022937710438,"review"
"persistent_heavy_tail__joint_exqdesn_rhs_vb","forecast",0,0,8.41098074626284e-17,8.88178419700125e-16,0.0120022937710438,"review"
"persistent_heavy_tail__exqdesn_rhs_independent_vb","fit",0,0,1.00871691951657e-16,1.33226762955019e-15,0.0318890572390572,"review"
"persistent_heavy_tail__exqdesn_rhs_independent_vb","forecast",0,0,8.71837474748932e-17,1.77635683940025e-15,0.0318890572390572,"review"
"regime_shift__joint_qdesn_rhs_vb","fit",0,0,5.71804508504264e-17,8.88178419700125e-16,0.00366887626262626,"pass"
"regime_shift__joint_qdesn_rhs_vb","forecast",0,0,5.80664264466649e-17,8.88178419700125e-16,0.00366887626262626,"pass"
"regime_shift__qdesn_rhs_independent_vb","fit",0,0,6.44424989561441e-17,8.88178419700125e-16,0.0132258417508418,"review"
"regime_shift__qdesn_rhs_independent_vb","forecast",5,0,3.81615175437154e-05,0.0662497241709434,0.0132258417508418,"review"
"regime_shift__joint_exqdesn_rhs_vb","fit",0,0,6.05864564866871e-17,8.88178419700125e-16,0.0177061658249158,"review"
"regime_shift__joint_exqdesn_rhs_vb","forecast",0,0,5.72653997333712e-17,8.88178419700125e-16,0.0177061658249158,"review"
"regime_shift__exqdesn_rhs_independent_vb","fit",0,0,6.35681983242518e-17,8.88178419700125e-16,0.035234111952862,"review"
"regime_shift__exqdesn_rhs_independent_vb","forecast",0,0,5.96284285375878e-17,8.88178419700125e-16,0.035234111952862,"review"
"student_t_location_scale__joint_qdesn_rhs_vb","fit",0,0,7.05348478037747e-17,8.88178419700125e-16,0.00230641835016835,"pass"
"student_t_location_scale__joint_qdesn_rhs_vb","forecast",0,0,7.05073725875087e-17,1.11022302462516e-15,0.00230641835016835,"pass"
"student_t_location_scale__qdesn_rhs_independent_vb","fit",0,0,6.76561981042109e-17,8.88178419700125e-16,0.0124877104377104,"review"
"student_t_location_scale__qdesn_rhs_independent_vb","forecast",2,0,1.88329395679779e-05,0.0637873162556559,0.0124877104377104,"review"
"student_t_location_scale__joint_exqdesn_rhs_vb","fit",0,0,7.14924151625139e-17,8.88178419700125e-16,0.0165485058922559,"review"
"student_t_location_scale__joint_exqdesn_rhs_vb","forecast",0,0,7.30346118679505e-17,1.77635683940025e-15,0.0165485058922559,"review"
"student_t_location_scale__exqdesn_rhs_independent_vb","fit",0,0,7.13159690032431e-17,8.88178419700125e-16,0.0335890782828283,"review"
"student_t_location_scale__exqdesn_rhs_independent_vb","forecast",0,0,7.27792846030881e-17,1.55431223447522e-15,0.0335890782828283,"review"
