"scenario_id","source_model_id","likelihood_family","fit_structure","metric_window","metric_role","metric_label","posterior_mean","posterior_median","posterior_q025","posterior_q975","n_draws","n_chains","draws_per_chain","point_reference_value","canonical_metric_value","canonical_raw_crossing_pairs","canonical_rearranged_crossing_pairs","crossing_opportunities_per_scenario","primary_pairing_seed","packet_manifest_sha256","fixture_manifest_sha256","model_label","scenario_label"
"regime_shift","joint_qdesn_rhs_vb","AL","joint","fit","oracle_fit_rmse","Fit RMSE against known quantile paths",0.126989092933235,0.126208434934084,0.0965468343445364,0.16165110865535,8000,8,1000,0,0.103903272114788,0,0,3000,17819001,"a96200a0dfdb0ad3506f99e737cce75b5f71d68c662a2ee1484376d44ebef624",,"Joint Q--DESN (AL--RHS)","Regime shift"
"regime_shift","qdesn_rhs_independent_vb","AL","independent","fit","oracle_fit_rmse","Fit RMSE against known quantile paths",0.144424794765026,0.144332262744034,0.112062270872932,0.1770959103259,8000,8,1000,0,0.118804696981178,0,0,3000,17819001,"a96200a0dfdb0ad3506f99e737cce75b5f71d68c662a2ee1484376d44ebef624",,"Independent Q--DESN (AL--RHS)","Regime shift"
"regime_shift","joint_exqdesn_rhs_vb","exAL","joint","fit","oracle_fit_rmse","Fit RMSE against known quantile paths",0.137967974981262,0.137769157760519,0.0972552634374697,0.180679087805836,8000,8,1000,0,0.112212377843024,0,0,3000,17819001,"a96200a0dfdb0ad3506f99e737cce75b5f71d68c662a2ee1484376d44ebef624",,"Joint exQDESN (exAL--RHS)","Regime shift"
"regime_shift","exqdesn_rhs_independent_vb","exAL","independent","fit","oracle_fit_rmse","Fit RMSE against known quantile paths",0.138892840864352,0.138468138859559,0.101049392693015,0.180245438430833,8000,8,1000,0,0.103735989984499,0,0,3000,17819001,"a96200a0dfdb0ad3506f99e737cce75b5f71d68c662a2ee1484376d44ebef624",,"Independent exQDESN (exAL--RHS)","Regime shift"
"student_t_location_scale","joint_qdesn_rhs_vb","AL","joint","fit","oracle_fit_rmse","Fit RMSE against known quantile paths",0.0974004761769791,0.0972439082699057,0.0765690708194002,0.119070341884226,8000,8,1000,0,0.0820071149107,0,0,3000,17819001,"a96200a0dfdb0ad3506f99e737cce75b5f71d68c662a2ee1484376d44ebef624",,"Joint Q--DESN (AL--RHS)","Student-t location-scale"
"student_t_location_scale","qdesn_rhs_independent_vb","AL","independent","fit","oracle_fit_rmse","Fit RMSE against known quantile paths",0.107100043627454,0.106958991592247,0.0866602594553903,0.127806728060391,8000,8,1000,0,0.0888105568141302,0,0,3000,17819001,"a96200a0dfdb0ad3506f99e737cce75b5f71d68c662a2ee1484376d44ebef624",,"Independent Q--DESN (AL--RHS)","Student-t location-scale"
"student_t_location_scale","joint_exqdesn_rhs_vb","exAL","joint","fit","oracle_fit_rmse","Fit RMSE against known quantile paths",0.132289190928227,0.132638340832277,0.0967031814385393,0.166173623079567,8000,8,1000,0,0.118396187091639,0,0,3000,17819001,"a96200a0dfdb0ad3506f99e737cce75b5f71d68c662a2ee1484376d44ebef624",,"Joint exQDESN (exAL--RHS)","Student-t location-scale"
"student_t_location_scale","exqdesn_rhs_independent_vb","exAL","independent","fit","oracle_fit_rmse","Fit RMSE against known quantile paths",0.133337412774739,0.133433114096579,0.0999860365347734,0.165939110236397,8000,8,1000,0,0.115471191849645,0,0,3000,17819001,"a96200a0dfdb0ad3506f99e737cce75b5f71d68c662a2ee1484376d44ebef624",,"Independent exQDESN (exAL--RHS)","Student-t location-scale"
"asymmetric_laplace_tail","joint_qdesn_rhs_vb","AL","joint","forecast","dgp_integrated_acrps","Forecast DGP-integrated aCRPS",0.317002607750402,0.316643817379747,0.314667665954849,0.321273736176476,8000,8,1000,0.312663877185881,0.314925434293005,1,0,5940,17819001,"a96200a0dfdb0ad3506f99e737cce75b5f71d68c662a2ee1484376d44ebef624",,"Joint Q--DESN (AL--RHS)","Asymmetric-Laplace tail"
"asymmetric_laplace_tail","qdesn_rhs_independent_vb","AL","independent","forecast","dgp_integrated_acrps","Forecast DGP-integrated aCRPS",0.316715573171521,0.316513010382379,0.314906810778701,0.319621434284601,8000,8,1000,0.312663877185881,0.314491656104465,6,0,5940,17819001,"a96200a0dfdb0ad3506f99e737cce75b5f71d68c662a2ee1484376d44ebef624",,"Independent Q--DESN (AL--RHS)","Asymmetric-Laplace tail"
