"model_id","model_family","n_quantile_levels","quantile_levels","horizon","n","check_loss_mean","mae_to_observation","rmse_to_observation","bias_to_observation"
"raw_glofas_latent_path_main_p50","raw_glofas",1,"0.5",14,1,0.92597870793736,1.85195741587472,1.85195741587472,-1.85195741587472
"qdesn_latent_path_rhs_al_vb_main_p50","qdesn_glofas_discrepancy",1,"0.5",15,1,1.53419308613765,3.06838617227529,3.06838617227529,-3.06838617227529
"raw_glofas_latent_path_main_p50","raw_glofas",1,"0.5",15,1,1.60305105352392,3.20610210704783,3.20610210704783,-3.20610210704783
"qdesn_latent_path_rhs_al_vb_main_p50","qdesn_glofas_discrepancy",1,"0.5",16,1,0.86505570724987,1.73011141449974,1.73011141449974,-1.73011141449974
"raw_glofas_latent_path_main_p50","raw_glofas",1,"0.5",16,1,0.95058428881148,1.90116857762296,1.90116857762296,-1.90116857762296
"qdesn_latent_path_rhs_al_vb_main_p50","qdesn_glofas_discrepancy",1,"0.5",17,1,0.86524585165502,1.73049170331004,1.73049170331004,-1.73049170331004
"raw_glofas_latent_path_main_p50","raw_glofas",1,"0.5",17,1,0.905896526947325,1.81179305389465,1.81179305389465,-1.81179305389465
"qdesn_latent_path_rhs_al_vb_main_p50","qdesn_glofas_discrepancy",1,"0.5",18,1,0.80591110031672,1.61182220063344,1.61182220063344,-1.61182220063344
"raw_glofas_latent_path_main_p50","raw_glofas",1,"0.5",18,1,0.87597774250393,1.75195548500786,1.75195548500786,-1.75195548500786
"qdesn_latent_path_rhs_al_vb_main_p50","qdesn_glofas_discrepancy",1,"0.5",19,1,0.90231515052817,1.80463030105634,1.80463030105634,-1.80463030105634
"raw_glofas_latent_path_main_p50","raw_glofas",1,"0.5",19,1,0.971014672460775,1.94202934492155,1.94202934492155,-1.94202934492155
"qdesn_latent_path_rhs_al_vb_main_p50","qdesn_glofas_discrepancy",1,"0.5",20,1,1.45805310143113,2.91610620286226,2.91610620286226,-2.91610620286226
"raw_glofas_latent_path_main_p50","raw_glofas",1,"0.5",20,1,1.57689880524249,3.15379761048498,3.15379761048498,-3.15379761048498
"qdesn_latent_path_rhs_al_vb_main_p50","qdesn_glofas_discrepancy",1,"0.5",21,1,1.02232123099865,2.04464246199731,2.04464246199731,-2.04464246199731
"raw_glofas_latent_path_main_p50","raw_glofas",1,"0.5",21,1,1.17746299753468,2.35492599506936,2.35492599506936,-2.35492599506936
"qdesn_latent_path_rhs_al_vb_main_p50","qdesn_glofas_discrepancy",1,"0.5",22,1,1.09209100109371,2.18418200218743,2.18418200218743,-2.18418200218743
"raw_glofas_latent_path_main_p50","raw_glofas",1,"0.5",22,1,1.3096970320873,2.61939406417461,2.61939406417461,-2.61939406417461
"qdesn_latent_path_rhs_al_vb_main_p50","qdesn_glofas_discrepancy",1,"0.5",23,1,0.83006406052137,1.66012812104274,1.66012812104274,-1.66012812104274
"raw_glofas_latent_path_main_p50","raw_glofas",1,"0.5",23,1,1.01991092685462,2.03982185370924,2.03982185370924,-2.03982185370924
"qdesn_latent_path_rhs_al_vb_main_p50","qdesn_glofas_discrepancy",1,"0.5",24,1,0.688933589517455,1.37786717903491,1.37786717903491,-1.37786717903491
"raw_glofas_latent_path_main_p50","raw_glofas",1,"0.5",24,1,0.873471455452005,1.74694291090401,1.74694291090401,-1.74694291090401
"qdesn_latent_path_rhs_al_vb_main_p50","qdesn_glofas_discrepancy",1,"0.5",25,1,0.63309488326376,1.26618976652752,1.26618976652752,-1.26618976652752
"raw_glofas_latent_path_main_p50","raw_glofas",1,"0.5",25,1,0.7987148282153,1.5974296564306,1.5974296564306,-1.5974296564306
"qdesn_latent_path_rhs_al_vb_main_p50","qdesn_glofas_discrepancy",1,"0.5",26,1,0.57013258002308,1.14026516004616,1.14026516004616,-1.14026516004616
"raw_glofas_latent_path_main_p50","raw_glofas",1,"0.5",26,1,0.71437181475118,1.42874362950236,1.42874362950236,-1.42874362950236
"qdesn_latent_path_rhs_al_vb_main_p50","qdesn_glofas_discrepancy",1,"0.5",27,1,0.576228431189565,1.15245686237913,1.15245686237913,-1.15245686237913
"raw_glofas_latent_path_main_p50","raw_glofas",1,"0.5",27,1,0.67907482750237,1.35814965500474,1.35814965500474,-1.35814965500474
"qdesn_latent_path_rhs_al_vb_main_p50","qdesn_glofas_discrepancy",1,"0.5",28,1,0.492518960138535,0.98503792027707,0.98503792027707,-0.98503792027707
"raw_glofas_latent_path_main_p50","raw_glofas",1,"0.5",28,1,0.614265020683915,1.22853004136783,1.22853004136783,-1.22853004136783
