"date","q05","q15","q35","q50","q65","q80","q95","phase","cutoff_date"
2022-11-12,0.280562500085099,0.327094249463285,0.345205145272369,0.35877646696944,0.365935476294185,0.386856382214085,0.468098417920303,"Fitted history",2022-12-25
2022-11-13,0.270767296687817,0.316466577157449,0.333271299741672,0.345194491857091,0.359437636641689,0.370848752322757,0.461355416773028,"Fitted history",2022-12-25
2022-11-14,0.286125134071107,0.316933980967736,0.329975271593337,0.340360071572628,0.350927569869063,0.363781358712638,0.454349696226699,"Fitted history",2022-12-25
2022-11-15,0.295838886838338,0.320848878155273,0.334087421300028,0.343973359115956,0.349500493454539,0.362932104196454,0.459210106016131,"Fitted history",2022-12-25
2022-11-16,0.31972240112146,0.328581761055556,0.337978788473876,0.347255985068686,0.351505793938168,0.358918476307165,0.44347197761828,"Fitted history",2022-12-25
2022-11-17,0.322246316838821,0.337053696062816,0.34305187357049,0.346239716714209,0.349450452944728,0.356056119545821,0.430404584769027,"Fitted history",2022-12-25
2022-11-18,0.328625584445607,0.341761590541915,0.345370471866727,0.346811541864529,0.349646401581085,0.359524813908497,0.44349937376965,"Fitted history",2022-12-25
2022-11-19,0.334204141904647,0.341939619814403,0.345275303657319,0.346761736587432,0.35024058636347,0.359494779441298,0.446996060491807,"Fitted history",2022-12-25
2022-11-20,0.326056448591399,0.341832851589441,0.344768301827423,0.345578882170086,0.349566042058836,0.356063270069347,0.431418225164454,"Fitted history",2022-12-25
2022-11-21,0.33261034666783,0.34066806667194,0.343377384170085,0.344313228560631,0.347734324489284,0.355921550488703,0.430627046772143,"Fitted history",2022-12-25
2022-11-22,0.333936486451284,0.340426577367263,0.343457009886814,0.344587877389852,0.348078418877339,0.356192888699293,0.433167720460366,"Fitted history",2022-12-25
2022-11-23,0.336577278602687,0.340663337454743,0.34359023144902,0.344927751067259,0.348253535330544,0.356158412714863,0.432679634491791,"Fitted history",2022-12-25
2022-11-24,0.340184700994332,0.341696588856293,0.345485723023107,0.346786681967306,0.350196304628308,0.358248116523831,0.434158397128698,"Fitted history",2022-12-25
2022-11-25,0.340638660431387,0.340638660431387,0.343778995267576,0.344410933942434,0.348104609359711,0.354245878088269,0.42171049087311,"Fitted history",2022-12-25
2022-11-26,0.336186078859967,0.336186078859967,0.338242388389525,0.33879921332315,0.342045664419194,0.34840729568657,0.410827143901346,"Fitted history",2022-12-25
2022-11-27,0.332078743358459,0.332078743358459,0.335958640945792,0.337368481471692,0.340465817701226,0.349891415370321,0.422298460741139,"Fitted history",2022-12-25
2022-11-28,0.332396080972866,0.332768498123083,0.337209709848311,0.339059617844122,0.343191938344399,0.353200100747346,0.434138285877952,"Fitted history",2022-12-25
2022-11-29,0.328241652535183,0.329858149850038,0.333908653993973,0.335845424291231,0.339969671707814,0.350727861174789,0.433430892540529,"Fitted history",2022-12-25
2022-11-30,0.325918959541698,0.328834017229912,0.332999784960655,0.334670614859366,0.339069266788515,0.347788863703004,0.425857735903394,"Fitted history",2022-12-25
2022-12-01,0.337862796195808,0.350547987758905,0.367943388977277,0.399985439471433,0.415025310718812,0.511805345831619,0.890208237308171,"Fitted history",2022-12-25
2022-12-02,1.19152570012336,1.42311458311446,1.70680062145253,1.93894410151192,2.28508378666593,2.65708365107129,3.75649050729592,"Fitted history",2022-12-25
2022-12-03,0.437874042118134,0.482046077938309,0.548433961214789,0.578152527123155,0.626602071054849,0.746350017493625,1.05332851660402,"Fitted history",2022-12-25
2022-12-04,0.922647948987956,1.10826792008203,1.41568807161048,1.62883555471181,1.94209878991046,2.29444434842603,3.32038482790743,"Fitted history",2022-12-25
2022-12-05,0.672085051682651,0.786987437435348,0.922118504129698,0.995747675697363,1.10813201348015,1.24319498055866,1.5721454530423,"Fitted history",2022-12-25
2022-12-06,0.647582433079816,0.771022938300356,0.936003725977029,1.0377465315573,1.17750814828897,1.36380508742939,1.92746883423531,"Fitted history",2022-12-25
2022-12-07,0.737801955195846,0.839606778902822,0.924257176925045,0.974117698681736,1.03639165361936,1.09918411226603,1.38994583938237,"Fitted history",2022-12-25
2022-12-08,0.61045467881616,0.678964668256297,0.715015525003698,0.731030994288141,0.752640723437946,0.788954214004866,0.933554297852183,"Fitted history",2022-12-25
2022-12-09,0.583921429332189,0.659356208671907,0.741965512063432,0.804455273497627,0.88208765873409,0.990881902551559,1.32563487125747,"Fitted history",2022-12-25
2022-12-10,0.641630489582107,0.725341240132026,0.832641641569063,0.918040389997451,1.02809871903028,1.17136689051393,1.60523424134685,"Fitted history",2022-12-25
2022-12-11,2.39185714585712,2.90476255461837,3.51237786995625,3.92223228523334,4.63322766621203,5.15835939816578,6.32174116634484,"Fitted history",2022-12-25
2022-12-12,1.58954856000404,1.81512712535213,2.11320662933628,2.26617348469082,2.52145972282824,2.86578671507173,3.28974719432003,"Fitted history",2022-12-25
2022-12-13,1.46773645338137,1.54907701862155,1.71239222588485,1.76428895581123,1.81594152342449,1.92075234934356,2.51187859478693,"Fitted history",2022-12-25
2022-12-14,1.25549710037826,1.33329026500374,1.39097253892805,1.41298500395053,1.45557877218167,1.51192234470924,1.77872257351832,"Fitted history",2022-12-25
2022-12-15,1.03771172417676,1.10020805452639,1.13013180513468,1.14184468728675,1.14599212617451,1.1927066689222,1.3204867401216,"Fitted history",2022-12-25
2022-12-16,0.892859298193992,0.939211666924941,0.969904617235216,0.985959178561696,1.01344520843283,1.03858524506224,1.17674765509602,"Fitted history",2022-12-25
2022-12-17,0.820491856680096,0.848527444428661,0.872463915143948,0.894752531680026,0.908079622834596,0.931176002644068,1.05023915988369,"Fitted history",2022-12-25
2022-12-18,0.753413240370078,0.782774978796186,0.811382350675881,0.835675145522934,0.835675145522934,0.852608596628919,0.981915692042512,"Fitted history",2022-12-25
2022-12-19,0.733684152288431,0.733684152288431,0.750770990001031,0.772870175048448,0.772870175048448,0.790424166174828,0.930063486700428,"Fitted history",2022-12-25
2022-12-20,0.68325749674108,0.697433180306827,0.708223066123661,0.718532045480306,0.719480255910817,0.738807763315032,0.886975238924699,"Fitted history",2022-12-25
2022-12-21,0.646441996205583,0.658740585278425,0.669240261959203,0.67576696426735,0.677562009386195,0.69353288059754,0.833068709750987,"Fitted history",2022-12-25
2022-12-22,0.607315755662165,0.626521361087261,0.637848987282253,0.644247482884021,0.646575495539698,0.661711288996063,0.793096942326944,"Fitted history",2022-12-25
2022-12-23,0.583243728788496,0.602832927442155,0.613756671077004,0.622186740139067,0.624556199658365,0.645495413595313,0.796932359298765,"Fitted history",2022-12-25
